sample_id,input_type,bam_path,fastq_r1,fastq_r2,species,population,region,reef_site,lat,lon
Ofav_75,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_75_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_75_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_76,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_76_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_76_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_77,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_77_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_77_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_78,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_78_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_78_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_79,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_79_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_79_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_80,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_80_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_80_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_81,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_81_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_81_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_82,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_82_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_82_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_83,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_83_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_83_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_84,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_84_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_84_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_85,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_85_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_85_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_86,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_86_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_86_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_87,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_87_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_87_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_88,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_88_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_88_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_89,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofav_89.bwa.dedup.clip.bam,,,Ofaveolata,FL_RR,Lower Keys,Newfound harbor patch reef,24.6186833,-81.3806833
Ofav_90,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofav_90.bwa.dedup.clip.bam,,,Ofaveolata,FL_RR,Lower Keys,Ballast Key Patch reef,24.4639167,-81.9831167
Ofav_91,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofav_91.bwa.dedup.clip.bam,,,Ofaveolata,FL_RR,Lower Keys,Ballast Key Patch reef,24.4642833,-81.9834667
Ofav_92,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_92_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_92_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_93,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofav_93.bwa.dedup.clip.bam,,,Ofaveolata,FL_RR,Upper Keys,Plantation Key ,24.9574167,-80.4922167
Ofav_94,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofav_94.bwa.dedup.clip.bam,,,Ofaveolata,FL_RR,Upper Keys,Tavernier Patch Reef,25.0133333,-80.4255333
