sample_id,input_type,bam_path,fastq_r1,fastq_r2,species,population,region,reef_site,lat,lon
Oann_59,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_59_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_59_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_60,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_60_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_60_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_61,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_61_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_61_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_62,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_62_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_62_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_63,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_63_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_63_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_64,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_64_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_64_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_65,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_65_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_65_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_66,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_66_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_66_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_67,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_67_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_67_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_68,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_68_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_68_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_69,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_69_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_69_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_70,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_70_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_70_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_71,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_71_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_71_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_72,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_72_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_72_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_73,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_73_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_73_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_75,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_75_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_75_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_76,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_76_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_76_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_77,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_77_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_77_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_78,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_78_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_78_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_79,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_79_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_79_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_80,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_80_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_80_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_81,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_81_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_81_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_82,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_82_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_82_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_83,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_83_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_83_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_84,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_84_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_84_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_85,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_85_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_85_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_86,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_86_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_86_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_87,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_87_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_87_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_88,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_88_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_88_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_89,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_89_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_89_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_91,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_91_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_91_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_92,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_92_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_92_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_95,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_95_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_95_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_96,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_96_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_96_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_97,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_97_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_97_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_98,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_98.bwa.dedup.clip.bam,,,Oannularis,FL_RR,Middle Keys,East Turtle Shoal,24.7189333,-80.9319167
Oann_99,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_99_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_99_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Ofav_100,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofav_100.bwa.dedup.clip.bam,,,Ofaveolata,FL_RR,Lower Keys,Key West patch reef,24.5008333,-81.7415667
Ofav_102,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_102_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_102_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_103,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_103_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_103_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_104,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_104_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_104_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_105,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_105_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_105_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_106,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_106_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_106_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_107,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_107_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_107_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_110,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_110_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_110_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_50,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofav_50.bwa.dedup.clip.bam,,,Ofaveolata,FL_RR,Upper Keys,Plantation Key Patch 1,24.9561667,-80.4927167
Ofav_52,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_52_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_52_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_53,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_53_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_53_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_54,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_54_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_54_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_55,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_55_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_55_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_56,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_56_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_56_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_57,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_57_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_57_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_58,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_58_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_58_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
