sample_id,sra_accession,population,region
Ac_FL_K2,SRR24007629,florida,Florida
Ac_FL_M5,SRR24007591,florida,Florida
Ac_FL_M10,SRR24007607,florida,Florida
Ac_FL_U91,SRR24007613,florida,Florida
Ac_PA_Tet1,SRR24007650,panama,Panama
Ac_PA_CK41,SRR24007598,panama,Panama
Ac_PA_CK140,SRR24007609,panama,Panama
Ac_PA_HS1,SRR24007671,panama,Panama
