label,x,y,plot_type,plot_num
apal,0.0,18072.7687660815,path,0
apal,7382.13364228472,18072.7687660815,path,0
apal,7674.981227711947,18040.253688879315,path,0
apal,7979.446011153491,17944.24259862946,path,0
apal,8295.98884424829,17787.5091410274,path,0
apal,8625.088860516407,17573.39303924278,path,0
apal,8967.244200597162,17305.715501283357,path,0
apal,9322.972766257275,16988.691027916004,path,0
apal,9692.813004310357,16626.838029596332,path,0
apal,10077.324721634322,16224.890473399339,path,0
apal,10477.08993252034,15787.71254000879,path,0
apal,10892.713739635938,15320.217991372048,path,0
apal,11324.825249935706,14827.29564638983,path,0
apal,11774.078526905985,14313.7460071924,path,0
apal,12241.153580584893,13784.67541736277,path,0
apal,12726.757396856185,13245.768408864786,path,0
apal,13231.625007575025,12702.343395611591,path,0
apal,13756.520603145362,12159.208992900853,path,0
apal,14302.238689233032,11620.646298724256,path,0
apal,14869.60528936539,11090.405638460923,path,0
apal,15459.4791952378,10571.715614203851,path,0
apal,16072.753266619511,10067.302269286249,path,0
apal,16710.355782826515,9579.416237418525,path,0
apal,17373.25184780701,9109.865874107729,path,0
apal,18062.444850966298,8660.054546444553,path,0
apal,18778.977985942278,8231.021291908375,path,0
apal,19523.93582963044,7823.549469845482,path,0
apal,20298.445983848385,7438.240831808233,path,0
apal,21103.680782124848,7075.431061319439,path,0
apal,21940.859064196633,6735.220347489003,path,0
apal,22811.248020899464,6417.515417815312,path,0
apal,23716.165112245242,6122.06887581405,path,0
apal,24656.980061588933,5848.515579806365,path,0
apal,25635.11692890374,5596.405970926155,path,0
apal,26652.056266302498,5365.236402542614,path,0
apal,27709.337359068206,5154.476642432999,path,0
apal,28808.560555585715,4963.676398410315,path,0
apal,29951.38968970124,4794.017098091909,path,0
apal,31139.554599176427,4647.987730076289,path,0
apal,32374.85374404884,4527.902080910288,path,0
apal,33659.156928862234,4436.016185419092,path,0
apal,34994.40813288713,4374.723843264134,path,0
apal,36382.62845261562,4346.773119876979,path,0
apal,37825.91916098418,4355.514801592412,path,0
apal,39326.464887955255,4405.19958779295,path,0
apal,40886.53692727179,4501.348560667659,path,0
apal,42508.49667438997,4651.170166698971,path,0
apal,44194.79920079395,4858.552326460461,path,0
apal,45947.99697010284,5118.712152368331,path,0
apal,47770.74370159491,5425.20476626571,path,0
apal,49665.79838699686,5769.864306490295,path,0
apal,51636.02946661819,6141.882990710204,path,0
apal,53684.41917115196,6527.041680662354,path,0
apal,55814.06803571374,6907.208691687989,path,0
apal,58028.19959295158,7260.266274061182,path,0
apal,60330.1652523305,7560.643049392558,path,0
apal,62723.44937297704,7780.6086287126855,path,0
apal,65211.67453776265,7895.766930975097,path,0
apal,67798.60703660855,7906.481626952321,path,0
apal,70488.16256731219,7826.104626513365,path,0
apal,73284.41216252417,7670.929707682921,path,0
apal,76191.588351847,7458.592129902507,path,0
apal,79214.09156838291,7206.738240840707,path,0
apal,82356.4968094282,6932.026334365079,path,0
apal,85623.56056139544,6649.481131039839,path,0
apal,89020.22799944606,6372.178639933082,path,0
apal,92551.6404727308,6111.211151151131,path,0
apal,96223.14328656765,5875.872061858272,path,0
apal,100040.29379333743,5674.003501929331,path,0
apal,104008.86980434315,5512.462228912604,path,0
apal,108134.87833536595,5397.677650299589,path,0
apal,112424.56469915525,5336.298145210628,path,0
apal,116884.42195861624,5335.947924882777,path,0
apal,121521.20075500282,5405.6709238316525,path,0
apal,126341.919525993,5549.380596981349,path,0
apal,131353.87512911283,5767.144804822575,path,0
apal,136564.65388658934,6061.044738182568,path,0
apal,141982.14306835062,6435.069824942365,path,0
apal,147614.54283055285,6894.885041320926,path,0
apal,153470.37862770763,7447.6222183744885,path,0
apal,159558.51411719422,8101.6586908094805,path,0
apal,165888.16457569163,8866.348422260868,path,0
apal,172468.91084783722,9751.671039766432,path,0
apal,179310.71384822577,10767.764301592877,path,0
apal,186423.9296386993,11924.30675165049,path,0
apal,193819.32510374972,13229.72117563795,path,0
apal,201508.0942477613,14690.177617751364,path,0
apal,209501.87513876066,16308.388846200445,path,0
apal,217812.76752432232,18082.212804818577,path,0
apal,226453.3511462924,20003.106751465508,path,0
apal,235436.70478205392,22054.516406385024,path,0
apal,244776.42604115442,24210.328798545557,path,0
apal,254486.6519472616,26433.5656140372,path,0
apal,264582.0803366006,28675.538004504906,path,0
apal,275077.99210526183,30875.71452157783,path,0
apal,285990.27433905576,32962.55947008074,path,0
apal,297335.4443609225,34855.567255005684,path,0
apal,309130.6747322978,36468.638872595446,path,0
apal,321393.81924627675,37714.81448320436,path,0
apal,334143.43995192106,38512.194908637204,path,0
apal,347398.8352506147,38790.6709155299,path,0
