label,x,y,plot_type,plot_num
acer,0.0,6149.941140262033,path,0
acer,5825.4096043861555,6149.941140262033,path,0
acer,6083.461851587118,6159.502285175609,path,0
acer,6352.945219826387,6186.645763432108,path,0
acer,6634.366081474717,6229.143185091661,path,0
acer,6928.253240034238,6284.826312751798,path,0
acer,7235.158923785993,6351.53383132009,path,0
acer,7555.659823453769,6427.0664187117345,path,0
acer,7890.358175834041,6509.1497684313845,path,0
acer,8239.882895428247,6595.405646927213,path,0
acer,8604.890756203744,6683.331416066358,path,0
acer,8986.067625704085,6770.288713694421,path,0
acer,9384.129753827538,6853.5021562592565,path,0
acer,9799.825118695495,6930.069000827073,path,0
acer,10233.934832139803,6997.328702997935,path,0
acer,10687.27460744993,7053.860363152108,path,0
acer,11160.696292137942,7098.556000285487,path,0
acer,11655.089468601473,7130.343391283305,path,0
acer,12171.383125692353,7148.202758575891,path,0
acer,12710.547404331903,7151.18429424406,path,0
acer,13273.595420452964,7138.426214987911,path,0
acer,13861.585168694059,7109.172990103482,path,0
acer,14475.621510422845,7062.793336876383,path,0
acer,15116.85824982442,6998.7975371130515,path,0
acer,15786.500301955555,6916.831947275827,path,0
acer,16485.80595683878,6816.421445698851,path,0
acer,17216.089243850583,6697.086384029742,path,0
acer,17978.7224008466,6558.585018022623,path,0
acer,18775.13845266337,6400.939435247114,path,0
acer,19606.833903841783,6224.4520457483595,path,0
acer,20475.371550631942,6029.716639198611,path,0
acer,21382.38341756348,5817.623082064261,path,0
acer,22329.573824099065,5589.354879817019,path,0
acer,23318.722587133678,5346.379035495644,path,0
acer,24351.688365357226,5091.6179473185,path,0
acer,25430.412151764707,4835.305082424105,path,0
acer,26556.92092087658,4588.811873619562,path,0
acer,27733.331437522564,4361.359601907806,path,0
acer,28961.85423434586,4160.310845380966,path,0
acer,30244.797765501582,3991.6171269279243,path,0
acer,31584.57274435454,3860.3631068006216,path,0
acer,32983.696673327046,3771.38256287416,path,0
acer,34444.79857440853,3729.951158089169,path,0
acer,35970.623929215864,3742.594678222653,path,0
acer,37564.03983788705,3818.04956356522,path,0
acer,39228.04040650194,3962.7688880446294,path,0
acer,40965.75237315336,4175.044522178546,path,0
acer,42780.44098324025,4453.441746263602,path,0
acer,44675.51612502275,4797.001492129609,path,0
acer,46654.53873696829,5204.157825865939,path,0
acer,48721.22749892834,5671.588412067691,path,0
acer,50879.46581971892,6192.980479423325,path,0
acer,53133.30913423491,6757.75725272197,path,0
acer,55486.99252380961,7349.883406878393,path,0
acer,57944.93867413887,7946.948768747612,path,0
acer,60511.766185722765,8519.803775033992,path,0
acer,63192.298252440916,9033.06430168857,path,0
acer,65991.57172456857,9446.785538942899,path,0
acer,68914.84657326354,9719.738816068804,path,0
acer,71967.61577430826,9830.425762003904,path,0
acer,75155.61562967852,9792.053710865106,path,0
acer,78484.83654633437,9627.33396968786,path,0
acer,81961.53429248641,9363.024180772376,path,0
acer,85592.24175248883,9027.160709458512,path,0
acer,89383.78120244741,8646.855283265824,path,0
acer,93343.27712960826,8246.777153857684,path,0
acer,97478.16961961638,7848.315354562475,path,0
acer,101796.22833679893,7469.332865868311,path,0
acer,106305.56712374264,7124.385818851243,path,0
acer,111014.65924759941,6825.278233574429,path,0
acer,115932.35332176757,6581.845264590674,path,0
acer,121067.88993286745,6402.895581757759,path,0
acer,126430.91900425362,6297.289792970285,path,0
acer,132031.51792869062,6275.184702332185,path,0
acer,137880.21050426498,6348.702357034312,path,0
acer,143987.98670911373,6522.4091751584765,path,0
acer,150366.32335212897,6796.279965526698,path,0
acer,157027.2056384402,7173.577447204296,path,0
acer,163983.14969019877,7660.600148999769,path,0
acer,171247.22606498035,8266.343219160457,path,0
acer,178833.08431599956,9002.204411520053,path,0
acer,186754.97864028468,9881.668216902744,path,0
acer,195027.7946630082,10919.903231703176,path,0
acer,203667.07740830112,12133.206752440787,path,0
acer,212689.06050911034,13538.228995656777,path,0
acer,222110.69671098577,15150.910251984902,path,0
acer,231949.68972711387,16985.071145543654,path,0
acer,242224.52750445757,19050.61291454339,path,0
acer,252954.51696350833,21351.315386477472,path,0
acer,264159.82027693006,23882.268785847136,path,0
acer,275861.4927552633,26627.043885190305,path,0
acer,288081.522410879,29554.792534917102,path,0
acer,300842.87127452437,32617.571849457003,path,0
acer,314169.51854209625,35748.288545174146,path,0
acer,328086.5056327192,38859.746116324684,path,0
acer,342619.9832427892,41845.32092830705,path,0
acer,357797.2604844079,44581.76412970047,path,0
acer,373646.85620053264,46934.496378988464,path,0
acer,390198.5525532702,48765.513614938085,path,0
acer,407483.45098601235,49943.65643094022,path,0
acer,425534.0306645588,50356.544381008345,path,0
